Transformed_Feature,Mean_Abs_SHAP
cat__Τύπος_Land Cruiser,0.0
cat__Τύπος_LX DYNAMIC,0.0
cat__Τύπος_LBX,0.0
cat__Τύπος_L200,0.0
cat__Τύπος_Kuga,0.0
cat__Τύπος_Kona,0.0
cat__Τύπος_7 SHS,0.0
cat__Τύπος_695,0.0
cat__Τύπος_600,0.0
cat__Τύπος_595C,0.0
cat__Τύπος_595 Turismo,0.0
cat__Τύπος_595 Competizione,0.0
cat__Τύπος_MX-5,0.0
cat__Τύπος_MX-30,0.0
cat__Τύπος_MG4,0.0
cat__Τύπος_M760,0.0
cat__Τύπος_Mokka X,0.0
cat__Τύπος_Model X,0.0
cat__Τύπος_Micra,0.0
cat__Τύπος_Mhero,0.0
cat__Τύπος_Megane,0.0
cat__Τύπος_A 220,0.0
cat__Τύπος_750,0.0
cat__Τύπος_745,0.0
cat__Τύπος_Outback,0.0
cat__Τύπος_One D Countryman,0.0
cat__Τύπος_One Cabrio,0.0
cat__Τύπος_Octavia,0.0
cat__Τύπος_ONE,0.0
cat__Τύπος_Niva,0.0
cat__Τύπος_Niro EV,0.0
cat__Τύπος_Niro,0.0
cat__Τύπος_Navara,0.0
cat__Τύπος_NX 450h,0.0
cat__Τύπος_NX 300,0.0
cat__Τύπος_NV250,0.0
cat__Τύπος_NP300,0.0
cat__Τύπος_Mustang Mach-E,0.0
cat__Τύπος_Musso Grand,0.0
cat__Τύπος_Mokka-e,0.0
cat__Τύπος_Q6 e-tron,0.0
cat__Τύπος_Q4 e-tron,0.0
cat__Τύπος_Q4,0.0
cat__Τύπος_Q2,0.0
cat__Τύπος_Puma,0.0
cat__Τύπος_ProCeed / pro_cee'd,0.0
cat__Τύπος_Primastar,0.0
cat__Τύπος_Precedent Golf cart,0.0
cat__Τύπος_Picanto,0.0
cat__Τύπος_Passat,0.0
cat__Τύπος_Partner,0.0
cat__Τύπος_Panda,0.0
cat__Τύπος_430 Gran Coupe,0.0
cat__Τύπος_420 Gran Coupe,0.0
cat__Τύπος_408,0.0
cat__Τύπος_320,0.0
cat__Τύπος_308,0.0
cat__Τύπος_RZ,0.0
cat__Τύπος_RX450,0.0
cat__Τύπος_RSQ8,0.0
cat__Τύπος_RAV 4,0.0
cat__Τύπος_RAM,0.0
cat__Τύπος_R 5,0.0
cat__Τύπος_Qashqai,0.0
cat__Τύπος_Q8 e-tron,0.0
cat__Τύπος_S 450,0.0
cat__Τύπος_Rio,0.0
cat__Τύπος_Rifter,0.0
cat__Τύπος_Renegade,0.0
cat__Τύπος_530,0.0
cat__Τύπος_520,0.0
cat__Τύπος_508,0.0
cat__Τύπος_500e,0.0
cat__Τύπος_500X,0.0
cat__Τύπος_500C,0.0
cat__Τύπος_5008,0.0
cat__Τύπος_500,0.0
cat__Τύπος_5,0.0
cat__Τύπος_Soul,0.0
cat__Τύπος_Solterra,0.0
cat__Τύπος_Silverado,0.0
cat__Τύπος_Sierra,0.0
cat__Τύπος_Seal U,0.0
cat__Τύπος_Scouty R,0.0
cat__Τύπος_Scenic,0.0
cat__Τύπος_Scala,0.0
cat__Τύπος_Santa Fe,0.0
cat__Τύπος_Sandero,0.0
cat__Τύπος_SX4 S-Cross,0.0
cat__Τύπος_SQ5,0.0
cat__Τύπος_S3,0.0
cat__Τύπος_S-Max,0.0
cat__Τύπος_S 580,0.0
cat__Τύπος_S 560,0.0
cat__Τύπος_TT RS,0.0
cat__Τύπος_T7,0.0
cat__Τύπος_T6,0.0
cat__Τύπος_T-Roc,0.0
cat__Τύπος_T-Cross,0.0
cat__Τύπος_Swift,0.0
cat__Τύπος_Swace,0.0
cat__Τύπος_Superb,0.0
cat__Τύπος_SuperVAN,0.0
cat__Τύπος_Stonic,0.0
cat__Τύπος_Stelvio,0.0
cat__Κατασκευαστής_Beev,0.0
cat__Τύπος_Spring,0.0
cat__Τύπος_Sportage,0.0
cat__Τύπος_Space Star,0.0
cat__Τύπος_Traveller,0.0
cat__Τύπος_Transit Custom,0.0
cat__Τύπος_Transit Connect,0.0
cat__Τύπος_Transit,0.0
cat__Τύπος_Trafic,0.0
cat__Κατασκευαστής_Cadillac,0.0
cat__Τύπος_Tourneo Courier,0.0
cat__Τύπος_Tourneo,0.0
cat__Τύπος_Touran,0.0
cat__Τύπος_Tonale,0.0
cat__Τύπος_Tipo,0.0
cat__Τύπος_Tiguan Allspace,0.0
cat__Τύπος_Terramar,0.0
cat__Τύπος_Tavascan,0.0
cat__Κατασκευαστής_Chery,0.0
cat__Τύπος_Taiga,0.0
cat__Τύπος_200,0.0
cat__Τύπος_2 Hybrid,0.0
cat__Τύπος_2,0.0
cat__Τύπος_X-Trail,0.0
cat__Τύπος_Wagoneer,0.0
cat__Κατασκευαστής_Chevrolet,0.0
cat__Τύπος_Vitara,0.0
cat__Τύπος_V90,0.0
cat__Περιοχή_ΠΕΡΙΣΤΕΡΙ 12137,0.0
cat__Περιοχή_ΠΕΤΡΟΥΠΟΛΗ 13232,0.0
cat__Τύπος_Urban,0.0
cat__Τύπος_Up,0.0
cat__Τύπος_UX,0.0
cat__Τύπος_Twingo,0.0
cat__Τύπος_Tunland G7,0.0
cat__Τύπος_Tucson,0.0
cat__Τύπος_X4 M40,0.0
cat__Περιοχή_ΠΕΥΚΗ 15121,0.0
cat__Τύπος_X3 M40,0.0
cat__Περιοχή_ΠΟΡΟΣ ΤΡΟΙΖΗΝΙΑΣ 18020,0.0
cat__Τύπος_301,0.0
cat__Τύπος_2er Gran Coupe,0.0
cat__Τύπος_225,0.0
cat__Τύπος_220 Gran Coupé,0.0
cat__Τύπος_220 Active Toure,0.0
cat__Τύπος_220,0.0
cat__Τύπος_218 Gran Tourer,0.0
cat__Τύπος_218 Gran Coupé,0.0
cat__Τύπος_218,0.0
cat__Τύπος_216 Gran Coupé,0.0
cat__Τύπος_208,0.0
cat__Τύπος_2008,0.0
cat__Τύπος_e,0.0
cat__Τύπος_bZ4X,0.0
cat__Περιοχή_ΠΕΙΡΑΙΑΣ 18531,0.0
cat__Τύπος_ZS,0.0
cat__Τύπος_Yukon,0.0
cat__Τύπος_C 200,0.0
cat__Περιοχή_ΠΕΡΑΜΑ 18863,0.0
cat__Τύπος_YUDO,0.0
cat__Τύπος_Xceed,0.0
cat__Τύπος_XV,0.0
cat__Τύπος_XT4,0.0
cat__Κατασκευαστής_Aixam,0.0
cat__Τύπος_X7 M50,0.0
