Κατασκευαστής,Τύπος,Εγγραφή,Ηλικία,Καύσιμο,Μετάδοση,Κυβικά,Ιπποδύναμη,Χιλιόμετρα,Κατάσταση,Περιοχή,Τιμή
Peugeot,208,2025.0,1.0,Plug-in Hybrid Βενζίνης,Αυτόματο,1200.0,100.0,4803.0,Μεταχειρισμένο,ΑΛΙΜΟΣ 17456,19990.0
Peugeot,208,2025.0,1.0,Βενζίνη,Χειροκίνητο,1200.0,100.0,14119.0,Μεταχειρισμένο,ΑΛΙΜΟΣ 17456,17100.0
MG,ZS,2025.0,1.0,Βενζίνη,Χειροκίνητο,1500.0,110.0,13711.0,Μεταχειρισμένο,ΑΛΙΜΟΣ 17456,16800.0
Peugeot,2008,2025.0,1.0,Βενζίνη,Χειροκίνητο,1200.0,100.0,6377.0,Μεταχειρισμένο,ΑΛΙΜΟΣ 17456,18950.0
Dacia,Sandero,2025.0,1.0,LPG / Βενζίνη,Χειροκίνητο,1000.0,100.0,0.0,Καινούργιο,ΠΕΙΡΑΙΑΣ 18542,19000.0
Toyota,Yaris,2025.0,1.0,Υβριδικό Βενζίνης,Αυτόματο,1500.0,116.0,22000.0,Μεταχειρισμένο,ΑΛΙΜΟΣ 17455,21000.0
Renault,Clio,2025.0,1.0,LPG / Βενζίνη,Χειροκίνητο,1000.0,100.0,8.0,Καινούργιο,ΠΕΙΡΑΙΑΣ 18542,20300.0
Renault,Clio,2025.0,1.0,LPG / Βενζίνη,Χειροκίνητο,1000.0,100.0,0.0,Καινούργιο,ΠΕΙΡΑΙΑΣ 18542,19300.0
Porsche,Taycan,2025.0,1.0,Ηλεκτρικό,Αυτόματο,,598.0,5000.0,Μεταχειρισμένο,ΜΕΤΑΜΟΡΦΩΣΗ 14451,135000.0
Porsche,Cayenne,2025.0,1.0,Plug-in Hybrid Βενζίνης,Αυτόματο,3000.0,470.0,10000.0,Μεταχειρισμένο,ΜΕΤΑΜΟΡΦΩΣΗ 14451,159000.0
Porsche,992,2025.0,1.0,Βενζίνη,Αυτόματο,3000.0,388.0,100.0,Καινούργιο,ΧΑΛΑΝΔΡΙ 15234,190000.0
Porsche,992,2025.0,1.0,Βενζίνη,Αυτόματο,3000.0,388.0,0.0,Καινούργιο,ΚΗΦΙΣΙΑ 14563,160000.0
Kia,Picanto,2025.0,1.0,Βενζίνη,Χειροκίνητο,1000.0,65.0,6452.0,Μεταχειρισμένο,ΑΛΙΜΟΣ 17456,14680.0
Toyota,Aygo (X),2025.0,1.0,Βενζίνη,Αυτόματο,1000.0,72.0,7000.0,Μεταχειρισμένο,ΜΑΡΟΥΣΙ 15124,20700.0
Kia,Picanto,2025.0,1.0,Βενζίνη,Χειροκίνητο,1000.0,65.0,4655.0,Μεταχειρισμένο,ΑΛΙΜΟΣ 17456,14680.0
Fiat,Panda,2025.0,1.0,Υβριδικό Βενζίνης,Χειροκίνητο,1000.0,70.0,11021.0,Μεταχειρισμένο,ΑΛΙΜΟΣ 17456,14600.0
Kia,Picanto,2025.0,1.0,Βενζίνη,Χειροκίνητο,1000.0,65.0,5260.0,Μεταχειρισμένο,ΑΛΙΜΟΣ 17456,14680.0
Mercedes-Benz,GLC 300,2025.0,1.0,Plug-in Hybrid Πετρελαίου,Αυτόματο,2000.0,333.0,14000.0,Leasing,ΜΑΡΟΥΣΙ 15124,93900.0
Mercedes-Benz,GLC Coupe,2025.0,1.0,Plug-in Hybrid Πετρελαίου,Αυτόματο,2000.0,333.0,14000.0,Leasing,ΜΑΡΟΥΣΙ 15124,93900.0
Peugeot,208,2025.0,1.0,Υβριδικό Βενζίνης,Αυτόματο,1200.0,110.0,8908.0,Μεταχειρισμένο,ΝΕΑ ΧΑΛΚΗΔΟΝΑ 14343,19700.0
Peugeot,208,2025.0,1.0,Υβριδικό Βενζίνης,Αυτόματο,1200.0,110.0,3147.0,Μεταχειρισμένο,ΝΕΑ ΧΑΛΚΗΔΟΝΑ 14343,22900.0
Peugeot,2008,2025.0,1.0,Βενζίνη,Χειροκίνητο,1200.0,100.0,6418.0,Μεταχειρισμένο,ΑΓΙΑ ΠΑΡΑΣΚΕΥΗ 15343,19100.0
MG,ZS,2025.0,1.0,Ηλεκτρικό,Αυτόματο,,147.0,400.0,Μεταχειρισμένο,ΝΕΑ ΧΑΛΚΗΔΟΝΑ 14343,24700.0
Citroen,C3,2025.0,1.0,Βενζίνη,Χειροκίνητο,1200.0,100.0,10509.0,Μεταχειρισμένο,ΑΓΙΑ ΠΑΡΑΣΚΕΥΗ 15343,17000.0
Citroen,C3,2025.0,1.0,Βενζίνη,Χειροκίνητο,1200.0,100.0,5400.0,Μεταχειρισμένο,ΝΕΑ ΧΑΛΚΗΔΟΝΑ 14343,17000.0
Opel,Mokka,2025.0,1.0,Βενζίνη,Χειροκίνητο,1200.0,130.0,8705.0,Μεταχειρισμένο,ΑΓΙΑ ΠΑΡΑΣΚΕΥΗ 15343,19700.0
Opel,Corsa,2025.0,1.0,Βενζίνη,Αυτόματο,1200.0,100.0,15983.0,Μεταχειρισμένο,ΝΕΑ ΧΑΛΚΗΔΟΝΑ 14343,18900.0
Peugeot,208,2025.0,1.0,Βενζίνη,Χειροκίνητο,1200.0,100.0,12768.0,Μεταχειρισμένο,ΝΕΑ ΧΑΛΚΗΔΟΝΑ 14343,16900.0
Opel,Corsa,2025.0,1.0,Βενζίνη,Αυτόματο,1200.0,100.0,12705.0,Μεταχειρισμένο,ΝΕΑ ΧΑΛΚΗΔΟΝΑ 14343,18900.0
Peugeot,308,2026.0,0.0,Υβριδικό Βενζίνης,Αυτόματο,1600.0,145.0,300.0,Καινούργιο,ΝΕΑ ΧΑΛΚΗΔΟΝΑ 14343,23900.0
Peugeot,208,2025.0,1.0,Υβριδικό Βενζίνης,Αυτόματο,1200.0,110.0,13447.0,Μεταχειρισμένο,ΝΕΑ ΧΑΛΚΗΔΟΝΑ 14343,19900.0
MG,MG3,2025.0,1.0,Υβριδικό Βενζίνης,Αυτόματο,1500.0,197.0,27320.0,Μεταχειρισμένο,ΝΕΑ ΧΑΛΚΗΔΟΝΑ 14343,17900.0
Ford,Ranger,2026.0,0.0,Plug-in Hybrid Βενζίνης,Αυτόματο,2300.0,281.0,100.0,Καινούργιο,ΒΑΡΗ 16672,55000.0
Opel,Mokka,2025.0,1.0,Βενζίνη,Χειροκίνητο,1200.0,136.0,5933.0,Μεταχειρισμένο,ΠΕΙΡΑΙΑΣ 18547,19400.0
Opel,Mokka,2025.0,1.0,Βενζίνη,Χειροκίνητο,1200.0,136.0,7949.0,Μεταχειρισμένο,ΠΕΙΡΑΙΑΣ 18547,19400.0
Opel,Corsa,2025.0,1.0,Βενζίνη,Χειροκίνητο,1200.0,100.0,8718.0,Μεταχειρισμένο,ΠΕΙΡΑΙΑΣ 18547,16900.0
Opel,Corsa,2025.0,1.0,Βενζίνη,Αυτόματο,1200.0,100.0,17481.0,Μεταχειρισμένο,ΠΕΙΡΑΙΑΣ 18547,18900.0
Peugeot,2008,2025.0,1.0,Βενζίνη,Χειροκίνητο,1200.0,100.0,10284.0,Μεταχειρισμένο,ΠΕΙΡΑΙΑΣ 18547,18800.0
Audi,Q3,2025.0,1.0,Βενζίνη,Αυτόματο,1500.0,150.0,10500.0,Μεταχειρισμένο,ΚΗΦΙΣΙΑ 14561,34900.0
Opel,Corsa,2025.0,1.0,Βενζίνη,Αυτόματο,1200.0,100.0,8950.0,Μεταχειρισμένο,ΠΕΙΡΑΙΑΣ 18547,18650.0
Porsche,992,2025.0,1.0,Υβριδικό Βενζίνης,Αυτόματο,3600.0,541.0,2300.0,Μεταχειρισμένο,ΚΡΥΟΝΕΡΙ 14568,239000.0
Porsche,911,2025.0,1.0,Υβριδικό Βενζίνης,Αυτόματο,3600.0,541.0,2300.0,Μεταχειρισμένο,ΚΡΥΟΝΕΡΙ 14568,239000.0
Renault,Clio,2025.0,1.0,Plug-in Hybrid Βενζίνης,Αυτόματο,1600.0,145.0,14500.0,Μεταχειρισμένο,ΧΑΙΔΑΡΙ 12461,22500.0
Chery,Τiggo 7,2025.0,1.0,Βενζίνη,Αυτόματο,1600.0,147.0,7900.0,Μεταχειρισμένο,ΚΡΥΟΝΕΡΙ 14568,24890.0
Chery,Τiggo 7,2025.0,1.0,Βενζίνη,Αυτόματο,1600.0,147.0,6000.0,Μεταχειρισμένο,ΚΡΥΟΝΕΡΙ 14568,24890.0
BMW,M5,2025.0,1.0,Υβριδικό Βενζίνης,Αυτόματο,4400.0,900.0,7500.0,Μεταχειρισμένο,ΚΡΥΟΝΕΡΙ 14568,154990.0
BMW,M5,2025.0,1.0,Plug-in Hybrid Βενζίνης,Αυτόματο,4400.0,900.0,7500.0,Μεταχειρισμένο,ΚΡΥΟΝΕΡΙ 14568,154990.0
Renault,Rafale,2026.0,0.0,Plug-in Hybrid Βενζίνης,Αυτόματο,1200.0,300.0,0.0,Καινούργιο,ΧΑΙΔΑΡΙ 12461,51800.0
Renault,Austral,2026.0,0.0,Υβριδικό Βενζίνης,Αυτόματο,1200.0,200.0,0.0,Καινούργιο,ΧΑΙΔΑΡΙ 12461,45900.0
Renault,Captur,2026.0,0.0,LPG / Βενζίνη,Χειροκίνητο,1000.0,100.0,0.0,Καινούργιο,ΧΑΙΔΑΡΙ 12461,22900.0
Dacia,Bigster,2026.0,0.0,LPG / Βενζίνη,Χειροκίνητο,1200.0,140.0,0.0,Καινούργιο,ΧΑΙΔΑΡΙ 12461,29900.0
